"","farmtype","hhsize","hhelectric","hhhdocc1","fplotarea1","yearsuse1","farmsalev","s1p1c1area","s1p1c1qharv","s1p1c1sold","pc1","extc","adm0","adm1","incfarm","incnfarm"
"4","Small","8-48","No","Farmer",1,"30-202",1e+06,"35.20999908-50",340,0,"44","1","burkinafaso","Bam",125500,"80-100"
"5","Medium","8-48","No","Farmer",5,"20-30",1e+05,"50-60",1782,0,"44","1","burkinafaso","Bam",1240000,"80-100"
"8","Small","8-48","No","Farmer",4,"0-5",1e+07,"0-20",61,0,"44","1","burkinafaso","Bam",325000,"80-100"
"33","Medium","8-48","No","Farmer",5,"20-30",1500000,"20-35.20999908",300,0,"27","1","burkinafaso","Ioba",3e+05,"0.1000000015-0.5"
"36","Small","7-8","No","Farmer",3.150000095,"20-30",1500000,"0-20",200,0,"26","1","burkinafaso","Ioba",150000,"0-0.1000000015"
"42","Large","8-48","No","Farmer",7,"20-30",8e+06,"35.20999908-50",3500,3500,"26","1","burkinafaso","Ioba",1e+06,"0-0.1000000015"
"45","Medium","8-48","No","Farmer",8,"5-10",5e+06,"0-20",200,0,"27","1","burkinafaso","Ioba",850000,"0.1000000015-0.5"
"46","Small","1-4","No","Farmer",2,"20-30",3e+05,"20-35.20999908",300,0,"26","1","burkinafaso","Ioba",250000,"0-0.1000000015"
"47","Medium","8-48","No","Farmer",6,"20-30",5e+06,"20-35.20999908",500,0,"26","1","burkinafaso","Ioba",850000,"0-0.1000000015"
"48","Small","8-48","No","Civil Servant",2.5,"5-10",3e+06,"35.20999908-50",800,0,"26","1","burkinafaso","Ioba",150000,"0.1000000015-0.5"
"51","Small","7-8","No","Farmer",4.5,"0-5",3e+06,"35.20999908-50",1600,400,"26","1","burkinafaso","Ioba",5e+05,"0-0.1000000015"
"53","Small","4-6","No","Civil Servant",1,"0-5",5e+06,"35.20999908-50",400,0,"26","1","burkinafaso","Ioba",80000,"0.5-5"
"54","Medium","8-48","No","Farmer",5.050000191,"5-10",65000,"20-35.20999908",588,196,"26","1","burkinafaso","Bougouriba",465000,"0-0"
"55","Medium","8-48","No","Farmer",5,"5-10",40000,"0-20",432,0,"44","1","burkinafaso","Bougouriba",3e+05,"20-35"
"56","Large","8-48","No","Farmer",5.5,"0-5",30000,"50-60",1080,216,"26","1","burkinafaso","Bougouriba",8e+05,"0-0"
"57","Small","1-4","No","Farmer",5,"0-5",40000,"0-20",432,0,"44","1","burkinafaso","Bougouriba",250000,"0-0"
"58","Small","4-6","No","Farmer",5.75,"0-5",50000,"35.20999908-50",1900,1900,"26","1","burkinafaso","Bougouriba",450000,"0-0"
"59","Large","8-48","No","Farmer",4,"0-5",35000,"20-35.20999908",324,0,"44","2","burkinafaso","Bougouriba",110000,"20-35"
"60","Medium","4-6","No","Farmer",2.75,"20-30",25000,"0-20",294,0,"44","2","burkinafaso","Bougouriba",150000,"35-52"
"61","Large","8-48","No","Farmer",5.5,"20-30",1e+05,"35.20999908-50",588,0,"26","2","burkinafaso","Bougouriba",57000,"0-0"
"63","Small","4-6","No","Farmer",5.25,"0-5",65000,"35.20999908-50",756,432,"44","1","burkinafaso","Bougouriba",4e+05,"0-0"
"64","Large","8-48","No","Farmer",5.75,"10-20",5e+05,"35.20999908-50",963,963,"14","1","burkinafaso","Bougouriba",9e+05,"35-52"
"65","Medium","7-8","No","Farmer",5.5,"5-10",2e+05,"20-35.20999908",2940,1470,"26","1","burkinafaso","Bougouriba",590000,"35-52"
"66","Medium","8-48","No","Farmer",3.75,"5-10",40000,"20-35.20999908",648,108,"44","1","burkinafaso","Bougouriba",53000,"0-0"
"68","Small","7-8","No","Farmer",5.25,"5-10",85000,"50-60",2220,2220,"14","1","burkinafaso","Bougouriba",6e+05,"80-100"
"69","Medium","8-48","No","Farmer",3.75,"10-20",27000,"0-20",34,17,"44","1","burkinafaso","Bougouriba",90000,"0-0"
"70","Medium","8-48","No","Farmer",6.75,"0-5",75000,"35.20999908-50",324,108,"44","2","burkinafaso","Bougouriba",85000,"0-0"
"71","Large","8-48","No","Farmer",8.869999886,"0-5",130000,"20-35.20999908",216,0,"44","2","burkinafaso","Bougouriba",125000,"0-0"
