farmtype,hhsize,hhelectric,hhhdocc1,fplotarea1,plotunits,yearsuse1,farmsalev,s1p1c1area,s1p1c1qharv,s1p1c1cons,s1p1c1lives,s1p1c1lost,s1p1c1sold,pc1,extc,adm0,adm1,incfarm,incnfarm,"""cleanData2$adm0"""
2,22,2,1,5,HA,60,650000,9,520,300,0,20,200,44,1,burkinafaso,Bam,375000,1500000,cleanData2$adm0
2,20,2,1,5,HA,60,650000,9,750,370,0,15,0,44,1,burkinafaso,Bam,1450000,750000,cleanData2$adm0
2,12,2,1,3,HA,7,650000,7,310,250,0,10,0,44,1,burkinafaso,Bam,750000,360000,cleanData2$adm0
1,11,2,1,1,HA,107,1000000,50,340,300,0,40,0,44,1,burkinafaso,Bam,125500,602500,cleanData2$adm0
2,24,2,1,5,HA,23,100000,55,1782,1602,30,50,0,44,1,burkinafaso,Bam,1240000,775000,cleanData2$adm0
2,25,2,1,4,HA,31,650000,60,1250,764,160,20,90,44,1,burkinafaso,Bam,1150000,115000,cleanData2$adm0
1,14,2,1,4,HA,30,650000,52,972,950,16,15,0,44,2,burkinafaso,Bam,856000,1200000,cleanData2$adm0
1,14,2,1,4,HA,5,10000000,5,61,30,0,15,0,44,1,burkinafaso,Bam,325000,750000,cleanData2$adm0
1,9,2,1,4,HA,17,650000,45,1785,1600,30,20,0,44,1,burkinafaso,Bam,550000,300000,cleanData2$adm0
2,10,2,1,3,HA,25,650000,80,1296,1100,20,10,0,44,1,burkinafaso,Bam,300000,500000,cleanData2$adm0
2,32,2,1,3,HA,18,650000,87,2270,2200,25,35,0,44,1,burkinafaso,Bam,500000,500000,cleanData2$adm0
1,11,2,1,2,HA,11,650000,80,810,750,0,20,0,44,1,burkinafaso,Bam,100000,75000,cleanData2$adm0
1,6,2,1,2,HA,25,650000,48,1950,1500,30,25,320,44,2,burkinafaso,Bam,525000,120000,cleanData2$adm0
1,6,2,1,1.5,HA,8,650000,55,972,500,10,15,200,44,1,burkinafaso,Bam,560000,100000,cleanData2$adm0
2,16,2,1,4.5,HA,21,650000,75,972,900,10,10,0,44,2,burkinafaso,Bam,400000,175000,cleanData2$adm0
1,14,2,1,2,HA,115,2000000,50,600,500,0,100,0,44,1,burkinafaso,Bam,400000,350000,cleanData2$adm0
2,6,2,1,3,HA,15,1000000,50,1000,800,100,100,100,44,1,burkinafaso,Bam,500000,175000,cleanData2$adm0
2,19,2,1,3,HA,15,1700000,50,1200,1050,100,50,0,44,1,burkinafaso,Bam,550000,600000,cleanData2$adm0
1,10,2,1,1.5,HA,15,3000000,50,1000,850,0,150,100,44,1,burkinafaso,Bam,500000,120000,cleanData2$adm0
2,23,2,1,7,HA,15,10000000,50,4000,3600,200,200,100,44,1,burkinafaso,Bam,750000,20000,cleanData2$adm0
2,10,2,1,3,HA,15,2000000,50,700,640,10,50,100,44,1,burkinafaso,Bam,250000,30000,cleanData2$adm0
1,10,2,1,2.0999999049999998,HA,15,2000000,50,500,480,1,20,100,44,1,burkinafaso,Bam,350000,200000,cleanData2$adm0
2,20,2,1,3,HA,15,2000000,50,700,650,0,50,100,44,1,burkinafaso,Bam,600000,600000,cleanData2$adm0
1,12,2,1,2,HA,15,1000000,50,1000,864,36,100,100,44,1,burkinafaso,Bam,400000,300000,cleanData2$adm0
1,11,2,1,2,HA,15,500000,50,500,480,0,20,100,44,1,burkinafaso,Bam,250000,25000,cleanData2$adm0
2,9,2,1,4,HA,15,1000000,50,2500,2000,200,100,300,44,1,burkinafaso,Bam,1000000,15000,cleanData2$adm0
1,7,2,1,1,HA,15,300000,50,300,295,0,5,100,44,1,burkinafaso,Bam,100000,50000,cleanData2$adm0
1,12,2,1,2.5,HA,15,1100000,50,700,550,50,100,100,44,1,burkinafaso,Bam,250000,200000,cleanData2$adm0
1,6,2,1,1,HA,15,300000,50,500,498,0,2,100,44,1,burkinafaso,Bam,150000,50000,cleanData2$adm0
2,13,2,1,2,HA,15,2000000,50,500,140,50,18,300,44,1,burkinafaso,Bam,500000,225000,cleanData2$adm0
1,6,2,1,3,HA,29,3000000,50,100,100,0,10,0,26,1,burkinafaso,Ioba,100000,0.3000000119,cleanData2$adm0
1,8,2,1,5,HA,15,3000000,50,200,200,0,50,0,27,1,burkinafaso,Ioba,125000,0.200000003,cleanData2$adm0
2,17,2,1,5,HA,25,1500000,30,300,300,0,0,0,27,1,burkinafaso,Ioba,300000,0.200000003,cleanData2$adm0
1,4,2,1,5,HA,23,1500000,50,1300,0,0,60,1300,27,1,burkinafaso,Ioba,500000,0.3000000119,cleanData2$adm0
1,8,2,1,2.5,HA,15,3000000,50,400,400,0,0,0,26,1,burkinafaso,Ioba,150000,0.200000003,cleanData2$adm0
1,8,2,1,3.1500000950000002,HA,30,1500000,15.86999989,200,200,0,0,0,26,1,burkinafaso,Ioba,150000,0.1000000015,cleanData2$adm0
3,24,2,1,5,HA,30,8000000,50,1000,1000,0,0,0,14,1,burkinafaso,Ioba,800000,0.25,cleanData2$adm0
3,16,2,1,7,HA,23,8000000,35.70999908,3500,0,0,100,3500,26,1,burkinafaso,Ioba,1000000,0.1000000015,cleanData2$adm0
1,9,2,1,5,HA,20,1000000,50,1500,1500,0,50,0,44,1,burkinafaso,Ioba,700000,0.200000003,cleanData2$adm0
2,12,2,1,6,HA,25,5000000,25,500,500,0,50,0,26,1,burkinafaso,Ioba,850000,0.1000000015,cleanData2$adm0
3,15,2,1,5.5,HA,3,30000,54.54999924,1080,864,0,864,216,26,1,burkinafaso,Bougouriba,800000,0,cleanData2$adm0
1,6,2,1,5.75,HA,2,50000,43.47999954,1900,0,0,300,1900,26,1,burkinafaso,Bougouriba,450000,0,cleanData2$adm0
3,21,2,1,5.75,HA,11,500000,43.47999954,963,0,0,420,963,14,1,burkinafaso,Bougouriba,900000,45,cleanData2$adm0
2,8,2,1,5.5,HA,7,200000,29.17000008,2940,1470,0,980,1470,26,1,burkinafaso,Bougouriba,590000,45,cleanData2$adm0
3,10,2,1,4,HA,4,50000000,50,1800,0,0,0,1800,26,1,burkinafaso,Boulgou,2000000,0,cleanData2$adm0
3,8,2,1,1.5,HA,8,2000000,50,1600,1600,0,0,0,44,1,burkinafaso,Boulgou,400000,0,cleanData2$adm0
3,17,2,2,1.75,HA,4,35000000,100,1500,1500,0,0,0,26,1,burkinafaso,Boulgou,750000,80,cleanData2$adm0
1,5,2,1,1,HA,15,650000,100,500,500,0,0,0,27,1,burkinafaso,Boulgou,260000,0,cleanData2$adm0
3,18,2,1,1.5,HA,15,650000,100,1200,1200,0,0,0,27,1,burkinafaso,Boulgou,800000,30,cleanData2$adm0
3,20,2,1,4,HA,20,30000000,75,2500,2500,0,0,0,27,1,burkinafaso,Boulgou,1200000,10,cleanData2$adm0
1,5,2,1,1,HA,4,2000000,100,800,800,0,0,0,27,1,burkinafaso,Boulgou,200000,0,cleanData2$adm0
2,7,2,12,2.5,HA,10,8000000,50,2000,2000,0,50,0,27,1,burkinafaso,Boulgou,300000,40,cleanData2$adm0
2,8,2,1,1,HA,15,3000000,50,1000,1000,0,0,0,27,1,burkinafaso,Boulgou,500000,0,cleanData2$adm0
1,3,2,9,2,HA,7,4000000,25,400,400,0,0,0,27,1,burkinafaso,Boulgou,350000,0,cleanData2$adm0
1,3,2,1,1,HA,5,2000000,25,300,300,0,0,0,26,1,burkinafaso,Boulgou,300000,0,cleanData2$adm0
2,15,2,1,3,HA,30,650000,71,1575,1458,0,0,0,44,2,burkinafaso,Boulkiemde,260000,89,cleanData2$adm0
1,16,2,1,3.75,HA,17,650000,27,385,375,0,0,0,27,1,burkinafaso,Boulkiemde,37600,0,cleanData2$adm0
1,15,2,1,3.5,HA,7,300000,78,2250,2205,0,10,0,44,1,burkinafaso,Boulkiemde,30500,89,cleanData2$adm0
1,9,2,1,1.5,HA,6,650000,50,1640,1378,100,0,0,44,1,burkinafaso,Boulkiemde,80675,0,cleanData2$adm0
2,15,2,1,18,HA,31,650000,17,2205,2075,100,0,0,44,1,burkinafaso,Boulkiemde,45000,90,cleanData2$adm0
2,15,2,1,8.5,HA,33,650000,29,1890,1830,30,0,0,44,1,burkinafaso,Boulkiemde,112000,15,cleanData2$adm0
2,20,2,1,4.75,HA,25,650000,70,1890,1700,30,0,0,44,1,burkinafaso,Boulkiemde,19700,84,cleanData2$adm0
1,19,2,5,3,HA,10,650000,100,2058,1756,50,0,0,27,2,burkinafaso,Boulkiemde,105500,41,cleanData2$adm0
1,10,2,1,2.5,HA,12,650000,67,930,780,50,0,0,44,1,burkinafaso,Boulkiemde,62000,71,cleanData2$adm0
2,26,2,1,4,HA,25,650000,75,2000,1950,50,0,0,44,1,burkinafaso,Boulkiemde,99000,60,cleanData2$adm0
2,20,2,1,6.5,HA,7,650000,46,2205,1900,36,0,168,44,1,burkinafaso,Boulkiemde,240650,0,cleanData2$adm0
1,18,2,1,6.75,HA,20,650000,48,1920,1800,50,0,0,44,1,burkinafaso,Boulkiemde,97250,51,cleanData2$adm0
2,20,2,1,4,HA,35,650000,63,1710,1395,50,0,240,44,1,burkinafaso,Boulkiemde,123750,22,cleanData2$adm0
3,23,2,1,25.25,HA,25,650000,65,11520,10572,36,0,120,44,1,burkinafaso,Boulkiemde,130000,70,cleanData2$adm0
3,26,2,1,4.9600000380000004,HA,30,650000,42,1525,1400,15,0,0,44,1,burkinafaso,Boulkiemde,158450,0,cleanData2$adm0
2,26,2,1,8.699999809,HA,40,650000,83,4447,4300,0,0,0,44,1,burkinafaso,Boulkiemde,81000,36,cleanData2$adm0
1,13,2,1,1.5,HA,10,650000,50,750,700,0,0,0,44,2,burkinafaso,Boulkiemde,204700,0,cleanData2$adm0
1,14,2,1,5.900000095,HA,15,650000,38,1387,1300,50,0,0,44,1,burkinafaso,Boulkiemde,125000,75,cleanData2$adm0
2,27,2,1,14,HA,30,650000,43,5550,5150,40,0,0,44,1,burkinafaso,Boulkiemde,500000,58,cleanData2$adm0
1,24,2,1,5.5,HA,31,650000,41,1575,1471,20,0,0,44,1,burkinafaso,Boulkiemde,123300,74,cleanData2$adm0
